Evaluation	Subtest	question_category	Question_Number	Question_Text
BAYLEY	Motor Scale - Fine Motor Subtest	cut	55	cuts on line
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	56	builds T
BAYLEY	Motor Scale - Fine Motor Subtest	button	57	buttons 1 button
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	58	builds steps 
BAYLEY	Motor Scale - Fine Motor Subtest	trace	59	traces design
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	60	imitates square
BAYLEY	Motor Scale - Fine Motor Subtest	copies	61	copies plus sign
BAYLEY	Motor Scale - Fine Motor Subtest	finger	62	taps finger
BAYLEY	Motor Scale - Fine Motor Subtest	finger	63	places 20 pellets in bottle
BAYLEY	Motor Scale - Fine Motor Subtest	cut	64	cuts circle
BAYLEY	Motor Scale - Fine Motor Subtest	cut	65	cuts square
BAYLEY	Motor Scale - Fine Motor Subtest	copy	66	copies square
BAYLEY	Motor Scale - Gross Motor Subtest	le	1	thrusts legs in play
BAYLEY	Motor Scale - Gross Motor Subtest	ue	2	thrusts arms in play
BAYLEY	Motor Scale - Gross Motor Subtest	head	3	Controls head while upright series: Lifts head
BAYLEY	Motor Scale - Gross Motor Subtest	head	4	Controls head while upright series: 3 seconds
BAYLEY	Motor Scale - Gross Motor Subtest	head	5	turns head to sides 
BAYLEY	Motor Scale - Gross Motor Subtest	crawl	6	makes crawling movements
BAYLEY	Motor Scale - Gross Motor Subtest	head	7	controls head in dorsal suspension
BAYLEY	Motor Scale - Gross Motor Subtest	head	8	controls head in ventral suspension
BAYLEY	Motor Scale - Gross Motor Subtest	head	9	Controls head while upright series: 15 seconds
BAYLEY	Motor Scale - Gross Motor Subtest	head	10	holds head in midline
BAYLEY	Motor Scale - Gross Motor Subtest	head	11	holds head upright while carried
BAYLEY	Motor Scale - Gross Motor Subtest	head	12	Controls head while prone series: 45 deg.
BAYLEY	Motor Scale - Gross Motor Subtest	head	13	rights head
BAYLEY	Motor Scale - Gross Motor Subtest	roll	14	rolls from side to back
BAYLEY	Motor Scale - Gross Motor Subtest	prone	15	Elevates trunk while prone series: Elbows and forearms
BAYLEY	Motor Scale - Gross Motor Subtest	sit	16	Sits with support series: Briefly
BAYLEY	Motor Scale - Gross Motor Subtest	prone	17	Controls head while prone series: 90 deg.
BAYLEY	Motor Scale - Gross Motor Subtest	prone	18	Elevates trunk while prone series: shifts weight
BAYLEY	Motor Scale - Gross Motor Subtest	sit	19	Sits with support series: 30 seconds
BAYLEY	Motor Scale - Gross Motor Subtest	roll	20	rolls from back to sides
BAYLEY	Motor Scale - Gross Motor Subtest	prone	21	Elevates trunk while prone series: Extended arms
BAYLEY	Motor Scale - Gross Motor Subtest	sit	22	Sits without support series: 5 seconds
BAYLEY	Motor Scale - Gross Motor Subtest	sit	23	pulls up to sit
BAYLEY	Motor Scale - Gross Motor Subtest	supine	24	grasps foot with hands
BAYLEY	Motor Scale - Gross Motor Subtest	roll	25	rolls from back to stomach
BAYLEY	Motor Scale - Gross Motor Subtest	sit	26	Sits without support series: 30 seconds
BAYLEY	Motor Scale - Gross Motor Subtest	sit	27	sits without support and holds object
BAYLEY	Motor Scale - Gross Motor Subtest	sit	28	rotates trunk while seated
BAYLEY	Motor Scale - Gross Motor Subtest	stand	29	makes stepping movements
BAYLEY	Motor Scale - Gross Motor Subtest	crawl	30	Crawls series: On stomach
BAYLEY	Motor Scale - Gross Motor Subtest	crawl	31	Crawls series: Crawl position
BAYLEY	Motor Scale - Gross Motor Subtest	crawl	32	moves from sitting to hands and knees
BAYLEY	Motor Scale - Gross Motor Subtest	stand	33	supports weight
BAYLEY	Motor Scale - Gross Motor Subtest	crawl	34	Crawls series: Crawl movement
BAYLEY	Motor Scale - Gross Motor Subtest	stand	35	raises self to standing position
BAYLEY	Motor Scale - Gross Motor Subtest	stand	36	bounces while standing
BAYLEY	Motor Scale - Gross Motor Subtest	walk	37	Walks series: With support
BAYLEY	Motor Scale - Gross Motor Subtest	walk	38	walks sideways with support
BAYLEY	Motor Scale - Gross Motor Subtest	sit	39	sits down with control
BAYLEY	Motor Scale - Gross Motor Subtest	stand	40	stands alone
BAYLEY	Motor Scale - Gross Motor Subtest	stand	41	Stands up series: Alone
BAYLEY	Motor Scale - Gross Motor Subtest	walk	42	Walks series: Alone
BAYLEY	Motor Scale - Gross Motor Subtest	walk	43	Walks series: Alone with coordination
BAYLEY	Motor Scale - Gross Motor Subtest	ball	44	throws ball
BAYLEY	Motor Scale - Gross Motor Subtest	stand	45	squats without support
BAYLEY	Motor Scale - Gross Motor Subtest	stand	46	Stands up series: Mature
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	47	Walks up stairs series: Both feet on each step, with support
BAYLEY	Motor Scale - Gross Motor Subtest	walk	48	walks backward 2 steps 
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	49	Walks down stairs series: Both feet on each step, with support
BAYLEY	Motor Scale - Gross Motor Subtest	run	50	runs with coordination
BAYLEY	Motor Scale - Gross Motor Subtest	balance	51	Balances on right foot series: With support 
BAYLEY	Motor Scale - Gross Motor Subtest	balance	52	Balances on left foot series: With support
BAYLEY	Motor Scale - Gross Motor Subtest	walk	53	walks sideways with support
BAYLEY	Motor Scale - Gross Motor Subtest	jump	54	jumps from bottom step
BAYLEY	Motor Scale - Gross Motor Subtest	ball	55	kicks ball
BAYLEY	Motor Scale - Gross Motor Subtest	walk	56	walks forward on path
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	57	Walks up stairs series: Both feet on each step, alone
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	58	Walks down stairs series: Both feet on each step, alone
BAYLEY	Motor Scale - Gross Motor Subtest	jumps	59	Jumps forward series: 4 inches
BAYLEY	Motor Scale - Gross Motor Subtest	balance	60	Balances on right foot series: 2 seconds, alone
BAYLEY	Motor Scale - Gross Motor Subtest	balance	61	Balances on left foot series: 2 seconds, alone
BAYLEY	Motor Scale - Gross Motor Subtest	walk	62	walks on tiptoes 4 steps
BAYLEY	Motor Scale - Gross Motor Subtest	walk	63	walks backward close to path
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	64	Walks up stairs series: Alternating feet, alone
BAYLEY	Motor Scale - Gross Motor Subtest	imitate	65	imitates postures
BAYLEY	Motor Scale - Gross Motor Subtest	run	66	stops from a full run
BAYLEY	Motor Scale - Gross Motor Subtest	stairs	67	Walks down stairs series: Alternating feet, alone
BAYLEY	Motor Scale - Gross Motor Subtest	jump	68	hops 5 feet
BAYLEY	Motor Scale - Gross Motor Subtest	balance	69	Balances on right foot series: 8 seconds, alone
BAYLEY	Motor Scale - Gross Motor Subtest	balance	70	Balances on left foot series: 8 seconds, alone
BAYLEY	Motor Scale - Gross Motor Subtest	walk	71	walks heel to toe
BAYLEY	Motor Scale - Gross Motor Subtest	jump	72	Jumps forward series: 24 inches
